"Municipio","Departamento","Matemática","Lenguaje","Promedio","Evaluados"
"ITSMINA","CHOCÓ",40.5,43.64,0.33,500
"SANTA ROSA","CAUCA",41.69,42.93,0.33,52
"SABANALARGA","ATLÁNTICO",40.2,43.79,0.33,840
"RONCESVALLES","TOLIMA",40.02,43.88,0.33,64
"EL PEÑON","CUNDINAMARCA",41.65,42.91,0.33,43
"RIO VIEJO","BOLÍVAR",39.52,44.16,0.33,91
"ANORI","ANTIOQUIA",41.36,43.07,0.33,107
"PUERTO ESCONDIDO","CÓRDOBA",40.72,43.43,0.32,254
"CICUCO","BOLÍVAR",41.17,43.17,0.32,107
"PAILITAS","CESAR",40.61,43.49,0.32,191
"SAN JOSE DEL FRAGUA","CAQUETÁ",40.56,43.52,0.32,194
"PIJAO","QUINDÍO",40.27,43.67,0.32,172
"SAN JUAN DE URABA","ANTIOQUIA",41.2,43.12,0.32,228
"TURBO","ANTIOQUIA",40.7,43.41,0.32,1425
"PUERTO CAICEDO","PUTUMAYO",40.73,43.37,0.32,160
"MOMIL","CÓRDOBA",40.89,43.26,0.32,259
"MITU","VAUPÉS",40.02,43.77,0.32,261
"GUARANDA","SUCRE",41.34,42.99,0.32,110
"POLONUEVO","ATLÁNTICO",40.35,43.57,0.32,120
"SUAN","ATLÁNTICO",41.67,42.8,0.32,99
"SUAREZ","CAUCA",40.72,43.34,0.32,189
"BELTRAN","CUNDINAMARCA",41.26,43,0.32,46
"GUACAMAYAS","BOYACÁ",39.39,44.1,0.32,31
"SANTA ROSALIA","VICHADA",41.75,42.71,0.32,24
"ALMEIDA","BOYACÁ",41.31,42.96,0.32,26
"CABRERA","CUNDINAMARCA",40.15,43.64,0.32,83
"MANAURE","LA GUAJIRA",40.23,43.59,0.32,123
"TARSO","ANTIOQUIA",40.59,43.38,0.32,89
"UTICA","CUNDINAMARCA",40.63,43.35,0.32,60
"TOTORO","CAUCA",39.38,44.08,0.32,144
"SAN FERNANDO","BOLÍVAR",40.19,43.58,0.32,123
"ALMAGUER","CAUCA",41.03,43.08,0.32,157
"LORICA","CÓRDOBA",40.56,43.34,0.32,1430
"FILADELFIA","CALDAS",39.85,43.74,0.32,133
"VEGACHI","ANTIOQUIA",40.87,43.13,0.32,157
"URIBIA","LA GUAJIRA",40.72,43.16,0.32,283
"EL BANCO","MAGDALENA",40.4,43.35,0.31,605
"SILVIA","CAUCA",39.92,43.63,0.31,358
"LEIVA","NARIÑO",41.41,42.75,0.31,88
"SAN PELAYO","CÓRDOBA",40.43,43.32,0.31,558
"GAMARRA","CESAR",41.26,42.83,0.31,127
"PALMITO","SUCRE",40.53,43.26,0.31,122
"PUERTO TEJADA","CAUCA",40.39,43.32,0.31,369
"ARIGUANI (EL DIFICIL)","MAGDALENA",40.6,43.19,0.31,342
"CEPITA","SANTANDER",39.92,43.59,0.31,24
"PURISIMA","CÓRDOBA",40.76,43.08,0.31,232
"BARRANCAS","LA GUAJIRA",41.22,42.8,0.31,321
"SOLITA","CAQUETÁ",39.8,43.63,0.31,75
"SAN CRISTOBAL","BOLÍVAR",41.6,42.55,0.31,73
"EL PASO","CESAR",40.28,43.3,0.31,391
"SAN CAYETANO","CUNDINAMARCA",41.01,42.86,0.31,78
"SUCRE","SUCRE",41.1,42.79,0.31,193
"CHIMICHAGUA","CESAR",40.38,43.22,0.31,452
"CHIVOLO","MAGDALENA",40.69,43.02,0.31,191
"BUENAVISTA","CÓRDOBA",39.71,43.59,0.31,200
"SAN SEBASTIAN","CAUCA",42.08,42.19,0.31,105
"PIJIÑO DEL CARMEN","MAGDALENA",40.02,43.39,0.31,118
"CALDONO","CAUCA",40.5,43.09,0.31,273
"SAN ZENON","MAGDALENA",40.29,43.22,0.31,112
"CUMARIBO","VICHADA",40.76,42.93,0.31,106
"LOS CORDOBAS","CÓRDOBA",39.03,43.94,0.31,174
"EL RETORNO","GUAVIARE",40.18,43.26,0.31,130
"SAN BENITO ABAD","SUCRE",40.83,42.87,0.31,317
"TOLEDO","ANTIOQUIA",38.91,43.97,0.31,32
"MARGARITA","BOLÍVAR",40.06,43.29,0.31,146
"SAN CARLOS","CÓRDOBA",40.52,43.01,0.31,220
"SAN JUAN DE BETULIA","SUCRE",41.08,42.65,0.3,192
"PELAYA","CESAR",40.28,43.09,0.3,213
"PUERTO WILCHES","SANTANDER",40.52,42.93,0.3,327
"CANALETE","CÓRDOBA",40.11,43.17,0.3,200
"AMBALEMA","TOLIMA",39.87,43.31,0.3,59
"EL CARMEN DE BOLIVAR","BOLÍVAR",40.65,42.84,0.3,799
"TUBARA","ATLÁNTICO",40.22,43.09,0.3,86
"SEGOVIA","ANTIOQUIA",41.36,42.41,0.3,301
"SANTA ANA","MAGDALENA",40.26,43.04,0.3,319
"MILAN","CAQUETÁ",39.84,43.27,0.3,62
"ALTOS DEL ROSARIO","BOLÍVAR",40.66,42.79,0.3,74
"VILLANUEVA","BOLÍVAR",40.78,42.69,0.3,242
"SAN ANTERO","CÓRDOBA",39.95,43.16,0.3,316
"OVEJAS","SUCRE",40.32,42.95,0.3,337
"COTORRA","CÓRDOBA",39.22,43.56,0.3,171
"LA CHORRERA","AMAZONAS",38.56,43.94,0.3,18
"BARBACOAS","NARIÑO",40.65,42.64,0.29,231
"DIBULLA","LA GUAJIRA",40,43.02,0.29,177
"NATAGAIMA","TOLIMA",40.6,42.67,0.29,195
"CABUYARO","META",39.37,43.39,0.29,54
"CALOTO","CAUCA",40.61,42.63,0.29,514
"NECOCLI","ANTIOQUIA",40.66,42.54,0.29,569
"ZARAGOZA","ANTIOQUIA",40.33,42.73,0.29,238
"TORIBIO","CAUCA",39.07,43.46,0.29,243
"CANDELARIA","ATLÁNTICO",41.86,41.82,0.29,104
"GUAMAL","MAGDALENA",40.06,42.87,0.29,403
"ACANDI","CHOCÓ",39.74,43.04,0.29,57
"TALAIGUA NUEVO","BOLÍVAR",40.46,42.56,0.29,222
"MAGUI (PAYAN)","NARIÑO",40.88,42.3,0.29,56
"ALGARROBO","MAGDALENA",40.25,42.62,0.29,138
"CIENAGA","MAGDALENA",40.42,42.45,0.28,1073
"FLORENCIA","CAUCA",40.27,42.54,0.28,78
"GALAN","SANTANDER",41.45,41.79,0.28,56
"ZAMBRANO","BOLÍVAR",40.45,42.35,0.28,159
"EL LITORAL DEL SAN JUAN","CHOCÓ",42.74,40.96,0.28,23
"OLAYA HERRERA","NARIÑO",39.51,42.82,0.28,100
"CANTAGALLO","BOLÍVAR",42.23,41.17,0.28,85
"MORALES","BOLÍVAR",40.41,42.24,0.27,210
"TUMACO","NARIÑO",40.11,42.41,0.27,2056
"TOPAIPI","CUNDINAMARCA",40.8,42,0.27,66
"ARENAL","BOLÍVAR",39.22,42.86,0.27,96
"PINILLOS","BOLÍVAR",39.18,42.88,0.27,248
"UNGUIA","CHOCÓ",40.38,42.17,0.27,76
"MURINDO","ANTIOQUIA",40.11,42.33,0.27,9
"SABANAS DE SAN ANGEL","MAGDALENA",40.13,42.3,0.27,91
"SAN JACINTO DEL CAUCA","BOLÍVAR",41.06,41.75,0.27,95
"FLANDES","TOLIMA",40.45,42.1,0.27,242
"NUEVA GRANADA","MAGDALENA",39.79,42.49,0.27,89
"EL CHARCO","NARIÑO",40.87,41.81,0.27,159
"ZONA BANANERA","MAGDALENA",40.03,42.31,0.27,663
"ALBANIA","LA GUAJIRA",40.29,42.13,0.27,166
"LA JAGUA DEL PILAR","LA GUAJIRA",40.47,42,0.27,19
"PLATO","MAGDALENA",39.62,42.46,0.27,603
"VILLA RICA","CAUCA",39.74,42.37,0.27,178
"PADILLA","CAUCA",39.5,42.48,0.26,96
"SANTA BARBARA DE PINTO","MAGDALENA",41.72,41.14,0.26,35
"TAMALAMEQUE","CESAR",40.06,42.11,0.26,189
"COVEÑAS","SUCRE",39.45,42.45,0.26,275
"SANTA ROSA","BOLÍVAR",40.27,41.96,0.26,207
"JAMBALO","CAUCA",39.04,42.66,0.26,165
"TIQUISIO (PUERTO RICO)","BOLÍVAR",40.37,41.87,0.26,170
"CAIMITO","SUCRE",39.63,42.29,0.26,123
"EL PEÑON","BOLÍVAR",39.81,42.15,0.26,85
"SAN ANDRES SOTAVENTO","CÓRDOBA",39.49,42.28,0.26,752
"PAEZ (BELALCAZAR)","CAUCA",39.27,42.4,0.26,332
"PUERTO NARIÑO","AMAZONAS",39.7,42.16,0.26,76
"BARRANCO DE LOBA","BOLÍVAR",39.58,42.22,0.26,155
"CUMBITARA","NARIÑO",38.41,42.9,0.26,98
"TENERIFE","MAGDALENA",39.56,42.23,0.26,124
"COLOSO (RICAURTE)","SUCRE",37.92,43.11,0.25,100
"ARACATACA","MAGDALENA",40.06,41.85,0.25,466
"ACHI","BOLÍVAR",40.25,41.72,0.25,339
"MARULANDA","CALDAS",36.61,43.82,0.25,28
"MAHATES","BOLÍVAR",39.64,42.04,0.25,359
"GUACHENÉ","CAUCA",38.27,42.82,0.25,11
"DISTRACCION","LA GUAJIRA",39.39,42.13,0.25,91
"LLORO","CHOCÓ",40.24,41.61,0.25,46
"LURUACO","ATLÁNTICO",39.85,41.8,0.25,280
"MAJAGUAL","SUCRE",39.55,41.94,0.25,464
"EL PIÑON","MAGDALENA",39.88,41.73,0.25,212
"PONEDERA","ATLÁNTICO",39.85,41.71,0.24,198
"HATILLO DE LOBA","BOLÍVAR",39.17,42.08,0.24,158
"MARIA LA BAJA","BOLÍVAR",39.61,41.82,0.24,554
"BAHIA SOLANO (MUTIS)","CHOCÓ",39.43,41.92,0.24,104
"SIPI","CHOCÓ",39.73,41.73,0.24,15
"CAMPO DE LA CRUZ","ATLÁNTICO",40.34,41.35,0.24,249
"EL RETEN","MAGDALENA",39.58,41.79,0.24,245
"FRANCISCO PIZARRO","NARIÑO",39.01,42.06,0.24,85
"COYAIMA","TOLIMA",39.63,41.65,0.24,305
"CALAMAR","BOLÍVAR",40.54,41.01,0.23,237
"JORDAN","SANTANDER",44.43,38.71,0.23,7
"PIOJO","ATLÁNTICO",40.2,41.15,0.23,59
"SOLANO","CAQUETÁ",37.85,42.5,0.23,42
"GUAPI","CAUCA",39.48,41.49,0.23,311
"SOPLAVIENTO","BOLÍVAR",39.6,41.31,0.22,91
"CANTON DEL SAN PABLO","CHOCÓ",39.92,41.12,0.22,51
"MANATI","ATLÁNTICO",39.89,41.12,0.22,195
"SAN ESTANISLAO","BOLÍVAR",39.5,41.34,0.22,187
"GUATAQUI","CUNDINAMARCA",38.84,41.73,0.22,44
"CLEMENCIA","BOLÍVAR",40.27,40.88,0.22,26
"BUENOS AIRES","CAUCA",39.02,41.57,0.22,224
"TARAPACA","AMAZONAS",39.35,41.35,0.22,20
"MEDIO ATRATO","CHOCÓ",37.67,42.33,0.22,3
"SANTA BARBARA (ISCUANDE)","NARIÑO",39.42,41.29,0.22,24
"CERTEGUI","CHOCÓ",37.28,42.47,0.22,47
"NUQUI","CHOCÓ",40.48,40.5,0.21,40
"NOVITA","CHOCÓ",39.83,40.88,0.21,42
"TADO","CHOCÓ",39.38,41.14,0.21,280
"ZAPAYAN","MAGDALENA",40.5,40.47,0.21,76
"EL GUAMO","BOLÍVAR",39.78,40.87,0.21,69
"BAGADO","CHOCÓ",39.5,41.02,0.21,75
"PUEBLO RICO","RISARALDA",39.41,41.04,0.21,141
"EL MOLINO","LA GUAJIRA",38.33,41.67,0.21,42
"CONCORDIA","MAGDALENA",39.27,41.06,0.21,151
"REMOLINO","MAGDALENA",39.51,40.81,0.2,95
"MEDIO BAUDO","CHOCÓ",40.73,40.09,0.2,22
"MAPIRIPANA","GUAINÍA",38.79,41.21,0.2,19
"LA TOLA","NARIÑO",41.52,39.59,0.2,56
"PUEBLOVIEJO","MAGDALENA",39.83,40.49,0.2,251
"CERRO SAN ANTONIO","MAGDALENA",38.37,41.3,0.2,60
"CARMEN DEL DARIEN","CHOCÓ",40.38,40.1,0.2,29
"VIGIA DEL FUERTE","ANTIOQUIA",39.74,40.39,0.19,65
"PTO SANTANDER","AMAZONAS",40.64,39.82,0.19,11
"ROBERTO PAYAN (SAN JOSE)","NARIÑO",38.25,41.2,0.19,56
"SANTA LUCIA","ATLÁNTICO",38.68,40.93,0.19,129
"MEDIO SAN JUAN","CHOCÓ",37.52,41.55,0.19,31
"MONTECRISTO","BOLÍVAR",38.84,40.6,0.18,43
"REGIDOR","BOLÍVAR",38.46,40.72,0.18,46
"PEDRAZA","MAGDALENA",38.77,40.43,0.17,111
"MOSQUERA","NARIÑO",39.97,39.72,0.17,58
"RIO IRO","CHOCÓ",37.72,41,0.17,42
"LOPEZ (MICAY)","CAUCA",38.99,40.14,0.17,111
"REPELON","ATLÁNTICO",38.08,40.67,0.17,231
"RIO QUITO","CHOCÓ",39.75,39.64,0.17,77
"UNION PANAMERICANA","CHOCÓ",36.4,41.6,0.17,15
"TIMBIQUI","CAUCA",38.87,39.98,0.16,162
"ARROYOHONDO","BOLÍVAR",39.33,39.43,0.15,70
"ALTO BAUDO (PIE DE PATO)","CHOCÓ",40.17,38.8,0.14,35
"YAVARATE","VAUPÉS",37,40.5,0.14,4
"RIOSUCIO","CHOCÓ",38.69,39.44,0.14,122
"BAJO BAUDO   (PIZARRO)","CHOCÓ",38.43,39.55,0.14,44
"LA PEDRERA","AMAZONAS",38.47,39.5,0.13,30
"ATRATO (YUTO)","CHOCÓ",37.5,39.4,0.11,70
"BOJAYA (BELLAVISTA)","CHOCÓ",40.2,37.8,0.11,5
"JURADO","CHOCÓ",35.06,39.22,0.05,18
