"Municipio","Departamento","Matemática","Lenguaje","Promedio","Evaluados"
"SAN PEDRO","ANTIOQUIA",44.21,47.64,0.55,331
"CAQUEZA","CUNDINAMARCA",46,46.58,0.55,184
"CALDAS","ANTIOQUIA",43.77,47.89,0.55,747
"PEREIRA","RISARALDA",44.11,47.67,0.55,5116
"GUAMAL","META",43.97,47.75,0.55,153
"TAUSA","CUNDINAMARCA",44.35,47.53,0.55,82
"LA PLATA","HUILA",44.73,47.3,0.55,578
"VILLAMARIA","CALDAS",43.71,47.89,0.55,614
"NILO","CUNDINAMARCA",44.76,47.26,0.55,84
"NEIRA","CALDAS",44.83,47.21,0.55,210
"SANTA ROSA DE OSOS","ANTIOQUIA",44.18,47.59,0.55,338
"LOURDES","NORTE SANTANDER",45.33,46.91,0.55,33
"BARBOSA","SANTANDER",44.97,47.12,0.55,307
"GUEPSA","SANTANDER",45.4,46.86,0.55,50
"VILLANUEVA","CASANARE",45,47.08,0.55,404
"COGUA","CUNDINAMARCA",44.47,47.39,0.55,193
"GUAITARILLA","NARIÑO",45.84,46.58,0.55,138
"CHINCHINA","CALDAS",44.57,47.32,0.55,490
"RETIRO","ANTIOQUIA",44.67,47.24,0.55,156
"RAQUIRA","BOYACÁ",45.18,46.92,0.55,65
"BOJACÁ","CUNDINAMARCA",45.27,46.86,0.55,93
"GIGANTE","HUILA",45.61,46.65,0.55,321
"CUITIVA","BOYACÁ",45.12,46.92,0.54,25
"PISVA","BOYACÁ",48.38,45,0.54,8
"ARMENIA","QUINDÍO",44.44,47.28,0.54,3423
"VILLETA","CUNDINAMARCA",44.66,47.15,0.54,303
"CALIMA (DARIEN)","VALLE",44.29,47.36,0.54,191
"ABEJORRAL","ANTIOQUIA",44.61,47.14,0.54,178
"NEMOCON","CUNDINAMARCA",45.22,46.78,0.54,129
"MOGOTES","SANTANDER",46.09,46.26,0.54,106
"EL COCUY","BOYACÁ",44.14,47.39,0.54,74
"GUASCA","CUNDINAMARCA",44.49,47.16,0.54,221
"BOCHALEMA","NORTE SANTANDER",44.96,46.88,0.54,109
"MARIQUITA","TOLIMA",44.41,47.2,0.54,340
"CIENEGA","BOYACÁ",45.35,46.65,0.54,54
"SAMANIEGO","NARIÑO",45.41,46.6,0.54,341
"SUBACHOQUE","CUNDINAMARCA",43.79,47.55,0.54,155
"TARQUI","HUILA",43.55,47.66,0.54,202
"CHIPAQUE","CUNDINAMARCA",45.34,46.61,0.54,74
"SESQUILE","CUNDINAMARCA",44.65,47.01,0.54,156
"ALEJANDRIA","ANTIOQUIA",43.42,47.73,0.54,26
"PUERTO TRIUNFO","ANTIOQUIA",44.25,47.23,0.54,103
"CACHIRA","NORTE SANTANDER",45.76,46.35,0.54,107
"VILLAHERMOSA","TOLIMA",44.92,46.83,0.54,73
"RESTREPO","VALLE",43.48,47.66,0.54,194
"CALI","VALLE",43.89,47.4,0.54,11398
"ANDES","ANTIOQUIA",43.86,47.42,0.54,466
"SAN VICENTE","ANTIOQUIA",45,46.73,0.54,215
"SAN MIGUEL","SANTANDER",43.64,47.52,0.54,33
"CHOACHI","CUNDINAMARCA",45.08,46.67,0.53,166
"OICATA","BOYACÁ",46.08,46.08,0.53,25
"ULLOA","VALLE",44,47.29,0.53,78
"GRAMALOTE","NORTE SANTANDER",45.14,46.59,0.53,69
"ILES","NARIÑO",43.7,47.43,0.53,102
"SABANA DE TORRES","SANTANDER",44.2,47.14,0.53,294
"PALMAS DEL SOCORRO","SANTANDER",46.39,45.85,0.53,26
"SAN LUIS DE GACENO","BOYACÁ",44.93,46.7,0.53,59
"COCORNA","ANTIOQUIA",43.95,47.27,0.53,104
"CONVENCION","NORTE SANTANDER",44.58,46.88,0.53,154
"GUATEQUE","BOYACÁ",44.7,46.81,0.53,172
