"Municipio","Departamento","Lenguaje","Evaluados"
"LA PLATA","HUILA",47.3,578
"ULLOA","VALLE",47.29,78
"ARMENIA","QUINDÍO",47.28,3423
"CHACHAGUI","NARIÑO",47.28,118
"COCORNA","ANTIOQUIA",47.27,104
"TIBANA","BOYACÁ",47.27,60
"BELEN","BOYACÁ",47.26,106
"NILO","CUNDINAMARCA",47.26,84
"RETIRO","ANTIOQUIA",47.24,156
"TASCO","BOYACÁ",47.24,51
"PUERTO TRIUNFO","ANTIOQUIA",47.23,103
"TULUA","VALLE",47.23,1979
"TUTA","BOYACÁ",47.23,137
"BELLO","ANTIOQUIA",47.22,3555
"TURMEQUE","BOYACÁ",47.22,140
"VILLAGOMEZ","CUNDINAMARCA",47.22,27
"NEIRA","CALDAS",47.21,210
"SUPATA","CUNDINAMARCA",47.21,85
"LA VICTORIA","BOYACÁ",47.2,15
"MARIQUITA","TOLIMA",47.2,340
"LA CAPILLA","BOYACÁ",47.19,21
"SACHICA","BOYACÁ",47.19,37
"SARAVENA","ARAUCA",47.18,557
"ABRIAQUI","ANTIOQUIA",47.17,24
"GACHANCIPA","CUNDINAMARCA",47.17,100
"CALARCA","QUINDÍO",47.16,879
"GUASCA","CUNDINAMARCA",47.16,221
"VILLETA","CUNDINAMARCA",47.15,303
"ABEJORRAL","ANTIOQUIA",47.14,178
"SABANA DE TORRES","SANTANDER",47.14,294
"CONSACA","NARIÑO",47.13,126
"BARBOSA","SANTANDER",47.12,307
"LOS PATIOS","NORTE SANTANDER",47.12,510
"ANDALUCIA","VALLE",47.11,184
"QUINCHIA","RISARALDA",47.11,333
"MEDINA","CUNDINAMARCA",47.1,58
"CHIMA","SANTANDER",47.09,33
"GUADALUPE","SANTANDER",47.09,122
"SAMACA","BOYACÁ",47.09,216
"CONTADERO","NARIÑO",47.08,37
"PALESTINA","CALDAS",47.08,172
"SAN ANTONIO DE TEQUENDAMA","CUNDINAMARCA",47.08,138
"VILLA CARO","NORTE SANTANDER",47.08,36
"VILLANUEVA","CASANARE",47.08,404
"CALIFORNIA","SANTANDER",47.07,15
"SUSA","CUNDINAMARCA",47.07,81
"FUNZA","CUNDINAMARCA",47.04,584
"NARIÑO","CUNDINAMARCA",47.04,26
"TABIO","CUNDINAMARCA",47.04,265
"BELMIRA","ANTIOQUIA",47.02,78
"SANTA BARBARA","ANTIOQUIA",47.02,254
"SESQUILE","CUNDINAMARCA",47.01,156
"LA UVITA","BOYACÁ",47,46
"LIBANO","TOLIMA",46.99,406
"GRANADA","META",46.97,792
"CARTAGO","VALLE",46.96,1324
"CUCUTA","NORTE SANTANDER",46.96,5944
"EL GUACAMAYO","SANTANDER",46.96,23
"SAN VICENTE DE CHUCURI","SANTANDER",46.96,448
"VENTAQUEMADA","BOYACÁ",46.95,231
"OIBA","SANTANDER",46.94,197
"FLORENCIA","CAQUETÁ",46.93,1603
"CUITIVA","BOYACÁ",46.92,25
"RAQUIRA","BOYACÁ",46.92,65
"SOACHA","CUNDINAMARCA",46.92,3353
"LOURDES","NORTE SANTANDER",46.91,33
"BETEITIVA","BOYACÁ",46.9,30
"AQUITANIA","BOYACÁ",46.89,147
"MONTELIBANO","CÓRDOBA",46.89,708
"SAPUYES","NARIÑO",46.89,70
"BOCHALEMA","NORTE SANTANDER",46.88,109
"CONVENCION","NORTE SANTANDER",46.88,154
"GACHETA","CUNDINAMARCA",46.87,145
"PUERTO SALGAR","CUNDINAMARCA",46.87,157
"SOCHA","BOYACÁ",46.87,134
"BOJACÁ","CUNDINAMARCA",46.86,93
"GUEPSA","SANTANDER",46.86,50
"RIONEGRO","ANTIOQUIA",46.86,1743
"SAN MARTIN","CESAR",46.86,174
"TAURAMENA","CASANARE",46.86,298
"ANOLAIMA","CUNDINAMARCA",46.84,243
